N    TimeBKpiv   std          TimeTTT     std         
10   6.54745e-05 1.15863e-10   0.000204182 2.03805e-08
20   5.14958e-05 9.49964e-12   0.000296141 6.53765e-08
25   7.1944e-05  0             0.00100009  0            
30   0.000310265 1.83186e-08   0.00220067  4.89737e-06   
40   0.00022002  8.29184e-09   0.00203173  3.72442e-06   
50   0.000321046 1.06065e-08   0.00385162  1.35248e-05   
60   0.00047299  3.38889e-08   0.0064528   3.82511e-05   
70   0.00104857  1.63902e-06   0.0125186   0.000148868   
80   0.00086299  1.38983e-07   0.118439    0.0139163
90   0.001142    3.12817e-07   0.0286076   0.000785421
100  0.00152397  7.41485e-07   0.188016    0.0350808   
110  0.00242275  6.36145e-06   0.401545    0.1606   
120  0.0022585   1.44402e-06   4.42477     4.6368   
